COMMUNE_NOM,COLL_INSEE,ENFANT_SEXE,ENFANT_PRENOM,NOMBRE_OCCURRENCES,ANNEE
Nevers,58194,M,Adam,1,2021
Nevers,58194,F,Alicia,1,2021
Nevers,58194,M,Ashot,1,2021
Nevers,58194,M,Ayden,1,2021
Nevers,58194,M,Baptiste,1,2021
Nevers,58194,F,Capucine,1,2021
Nevers,58194,F,Caroline,1,2021
Nevers,58194,F,Céleste,1,2021
Nevers,58194,M,Charles,1,2021
Nevers,58194,F,Clara,1,2021
Nevers,58194,M,Cody,1,2021
Nevers,58194,M,Dario,1,2021
Nevers,58194,F,Djenna,1,2021
Nevers,58194,F,Eléonore,1,2021
Nevers,58194,F,Elif,1,2021
Nevers,58194,F,Emily-Rose,1,2021
Nevers,58194,F,Emma-Rose,1,2021
Nevers,58194,M,Enzo,1,2021
Nevers,58194,M,Ernest,1,2021
Nevers,58194,M,Ethan,1,2021
Nevers,58194,M,Evan,1,2021
Nevers,58194,M,Ewen,1,2021
Nevers,58194,M,Ezra,1,2021
Nevers,58194,M,Gustave,1,2021
Nevers,58194,M,Hamza,1,2021
Nevers,58194,F,Hanaé,1,2021
Nevers,58194,F,Helîn,1,2021
Nevers,58194,M,Hugo,1,2021
Nevers,58194,M,Ibrahim,1,2021
Nevers,58194,F,Inëa,1,2021
Nevers,58194,M,Jayden,1,2021
Nevers,58194,F,Johanna,1,2021
Nevers,58194,M,Jules,2,2021
Nevers,58194,F,Kalya,1,2021
Nevers,58194,M,Léo,1,2021
Nevers,58194,M,Léon,1,2021
Nevers,58194,F,Lina,1,2021
Nevers,58194,F,Lisa,1,2021
Nevers,58194,F,Lise,1,2021
Nevers,58194,M,Loghan,1,2021
Nevers,58194,F,Lola,1,2021
Nevers,58194,F,Lou,2,2021
Nevers,58194,F,Loü,1,2021
Nevers,58194,F,Louane,1,2021
Nevers,58194,F,Lylah,1,2021
Nevers,58194,M,Maël,1,2021
Nevers,58194,F,Maëlle,1,2021
Nevers,58194,M,Maného,1,2021
Nevers,58194,M,Marin,1,2021
Nevers,58194,F,Marissa,1,2021
Nevers,58194,M,Marlon,1,2021
Nevers,58194,M,Mathéo,1,2021
Nevers,58194,M,Mathis,2,2021
Nevers,58194,F,Mia,1,2021
Nevers,58194,M,Milan,1,2021
Nevers,58194,M,Milo,1,2021
Nevers,58194,F,Mylënna,1,2021
Nevers,58194,F,Naomi,1,2021
Nevers,58194,M,Nathanaël,1,2021
Nevers,58194,M,Noâm,1,2021
Nevers,58194,M,Nolan,1,2021
Nevers,58194,F,Nyna,1,2021
Nevers,58194,M,Paul,2,2021
Nevers,58194,F,Romy,1,2021
Nevers,58194,M,Sacha,1,2021
Nevers,58194,F,Sarah,1,2021
Nevers,58194,M,Simon,1,2021
Nevers,58194,F,Soussaba,1,2021
Nevers,58194,F,Taycir,1,2021
Nevers,58194,M,Ténaël,1,2021
Nevers,58194,F,Thalia,1,2021
Nevers,58194,M,Théo,1,2021
Nevers,58194,M,Thiago,1,2021
Nevers,58194,M,Thyago,1,2021
Nevers,58194,M,Timéo,1,2021
Nevers,58194,M,Victor,1,2021
Nevers,58194,M,Vinchenzo,1,2021
Nevers,58194,M,Warren,1,2021
Nevers,58194,M,Wassim,1,2021
Nevers,58194,F,Yaël,1,2021
Nevers,58194,M,Yassine,1,2021
Nevers,58194,F,Yiana,1,2021
Nevers,58194,F,Ylianna,1,2021
Nevers,58194,M,Youssef,1,2021
Nevers,58194,M,Aaron,10,2020
Nevers,58194,F,Abby,1,2020
Nevers,58194,F,Abigaïl,1,2020
Nevers,58194,M,Achille,2,2020
Nevers,58194,M,Adam,2,2020
Nevers,58194,M,Adel,1,2020
Nevers,58194,F,Adéle,1,2020
Nevers,58194,F,Adèle,3,2020
Nevers,58194,M,Adem,1,2020
Nevers,58194,M,Aden,1,2020
Nevers,58194,M,Adrian,1,2020
Nevers,58194,M,Adrien,1,2020
Nevers,58194,F,Adriyana,1,2020
Nevers,58194,F,Aënaelle,1,2020
Nevers,58194,F,Agathe,4,2020
Nevers,58194,M,Aiden,1,2020
Nevers,58194,M,Aimé,1,2020
Nevers,58194,M,Aimé-Patrick,1,2020
Nevers,58194,F,Aïssa,1,2020
Nevers,58194,F,Ajsi,1,2020
Nevers,58194,M,Al,1,2020
Nevers,58194,F,Alana,1,2020
Nevers,58194,F,Alba,1,2020
Nevers,58194,M,Alban,1,2020
Nevers,58194,F,Albane,2,2020
Nevers,58194,M,Alec,2,2020
Nevers,58194,M,Aleck,1,2020
Nevers,58194,M,Aléssio,1,2020
Nevers,58194,M,Alex,1,2020
Nevers,58194,F,Alexandra,1,2020
Nevers,58194,M,Alexandre,1,2020
Nevers,58194,F,Alexane,1,2020
Nevers,58194,M,Alexis,1,2020
Nevers,58194,M,Aléxis,1,2020
Nevers,58194,M,Ali,1,2020
Nevers,58194,F,Alia,1,2020
Nevers,58194,F,Alice,9,2020
Nevers,58194,F,Aliénor,1,2020
Nevers,58194,F,Aline,2,2020
Nevers,58194,F,Alix,3,2020
Nevers,58194,M,Allan,1,2020
Nevers,58194,F,Alma,1,2020
Nevers,58194,M,Aloïs,1,2020
Nevers,58194,F,Alya,3,2020
